Sony E 16-70mm 4.0 ZA OSS;16-70mm;1:4.0;55mm;1:4.35;0.35m;Sony E;APS-C;308g;66.6x75mm;
Canon EF 50mm 1.8 STM;50mm;1:1.8;49mm;1:4.76;0.35m;Canon EF;APS-C/ Kleinbild;159g;69.2x39.3mm;
Tamron SP AF 24-70mm 2.8 Di VC USD G2;24-70mm;1:2.8;82mm;1:5.00;0.38m;Canon EF;APS-C/ Kleinbild;905g;88.4x111mm;
Sony FE 50mm 1.8;50mm;1:1.8;49mm;1:7.14;0.45m;Sony E;APS-C/ Kleinbild;186g;59.5x68.6mm;
