IPv4;Date;Time(First Page);Time(Last Page);Time (Diff);Total Pages Crawled;Delay between Downloads (seconds);Downloads per Minute (Theoretical);Downloads per Minute (Practical);Result
10.20.25.255;31.10.2017;17:09:38;17:17:55;00:08:17;111;5;12;12;Ban
192.168.0.27;31.10.2017;17:56:21;21:58:46;04:02:25;2078;7;8,571;8,5;Complete Run (x2?)
