_id;Focal Length;Aperture;Filtersize;Magnification;Minimal Focus;Mount;Sensor compatibility;Weight;Size;
Sony 24-70mm 2.8;24-70mm;1:2.8;77mm;1:4.00;0.34m;Sony A;APS-C/ Kleinbild;955g;83x111mm;
Canon EF 50mm 1.8 STM;50mm;1:1.8;49mm;1:4.76;0.35m;Canon EF;APS-C/ Kleinbild;159g;69.2x39.3mm;
Sigma Art AF 30mm 1.4 DC HSM;30mm;1:1.4;62mm;1:6.80;0.30m;Nikon F;APS-C;435g;74.2x63.3mm;
Sigma AF 300-800mm 5.6 EX DG APO HSM IF;300-800mm;1:5.6;46mm;1:6.90;6.00m;Canon EF, Sigma SA, Nikon F;APS-C/ Kleinbild;5880g;156.5x544mm;
Tamron 100-400mm 4.5-6.3 Di VC USD;100-400mm;1:4.5-1:6.3;67mm;1:3.60;1.50m;Nikon F;APS-C/ Kleinbild;1140g;86.2x199mm;
Sony 11-18mm 4.5-5.6 DT;11-18mm;1:4.5-1:5.6;77mm;1:8.00;0.25m;Sony A;APS-C;360g;83x81mm;
SLR Magic Hyper Prime 50mm 0.95;50mm;1:0.95;62mm;;0.60m;Sony E;APS-C;490g;65x85mm;
Sigma Sports AF 500mm 4.0 DG OS HSM;500mm;1:4.0;46mm;1:6.50;3.50m;Sigma SA;APS-C/ Kleinbild;3310g;144.8x380.3mm;
Sigma Art AF 50mm 1.4 DG HSM;50mm;1:1.4;77mm;1:5.60;0.40m;Canon EF, Sigma SA;APS-C/ Kleinbild;815g;85x100mm;
Canon TS-E 135mm 4.0 L Makro;135mm;1:4.0;82mm;1:2.00;0.486m;Canon EF;APS-C/ Kleinbild;1100g;88.5x139.1mm;
Walimex Pro 50mm 1.2 CSC;50mm;1:1.2;62mm;;0.50m;Micro-Four-Thirds, Sony E, Fujifilm X;Four-Thirds;375g;67.5x73mm;
Zeiss Batis 135mm 2.8;135mm;1:2.8;67mm;1:5.30;0.87m;Sony E;APS-C/ Kleinbild;614g;98x120mm;
Walimex Pro 35mm 1.4 DSLR;35mm;1:1.4;77mm;;0.30m;Canon EF;;760g;83x109mm;
Yongnuo 35mm 2.0;35mm;1:2.0;52mm;1:4.35;0.25m;Canon EF;APS-C;155g;73x59mm;
Nikon AF-S VR 16-35mm 4.0G ED;16-35mm;1:4.0;77mm;1:4.00;0.28m;Nikon F;APS-C/ Kleinbild;685g;82.5x125mm;
Sigma AF 70-200mm 2.8 EX DG APO HSM OS;70-200mm;1:2.8;77mm;1:8.00;1.40m;Nikon F, Sony A, Sigma SA;APS-C/ Kleinbild;1430g;86.4x197.6mm;
Olympus M.Zuiko digital 9mm 8.0 Body Cap Lens;9mm;1:8.0;;1:21.74;0.20m;Micro-Four-Thirds;Four-Thirds;30g;56x12.8mm;
Fujifilm XF 80mm 2.8 R LM OIS WR Makro;80mm;1:2.8;62mm;1:1.00;0.25m;Fujifilm X;APS-C;750g;80x130mm;
Sigma AF 500mm 4.5 EX DG APO IF;500mm;1:4.5;46mm;1:7.70;4.00m;Sony A;APS-C/ Kleinbild;3150g;123x350mm;
Nikon AF 50mm 1.8D;50mm;1:1.8;52mm;1:7.14;0.45m;Nikon F;APS-C/ Kleinbild;160g;63x39mm;
Olympus M.Zuiko digital ED 40-150mm 2.8 PRO;40-150mm;1:2.8;72mm;1:4.76;0.70m;Micro-Four-Thirds;Four-Thirds;760g;79.4x160mm;
Samyang 85mm 1.4 Asph IF MC;85mm;1:1.4;72mm;;1.00m;Sony A, Pentax K, Canon EF;APS-C/ Kleinbild;516g;78x72.2mm;
Panasonic Lumix G Vario 35-100mm 4.0-5.6 OIS;35-100mm;1:4.0-1:5.6;46mm;1:4.54;0.90m;Micro-Four-Thirds;Four-Thirds;135g;55.5x50mm;
Fujifilm XC 16-50mm 3.5-5.6 OIS II;16-50mm;1:3.5-1:5.6;58mm;1:6.67;0.30m;Fujifilm X;APS-C;195g;62.6x65.2mm;
Olympus M.Zuiko digital 17mm 2.8 Pancake;17mm;1:2.8;37mm;1:9.09;0.20m;Micro-Four-Thirds;Four-Thirds;71g;57x22mm;
Sony 28-75mm 2.8 SAM;28-75mm;1:2.8;67mm;1:4.55;0.38m;Sony A;APS-C/ Kleinbild;565g;77.5x94mm;
Zeiss Loxia 21mm 2.8;21mm;1:2.8;52mm;1:7.81;0.25m;Sony E;APS-C/ Kleinbild;394g;62.1x72mm;
